
DateTime,PPG,X,Y,Z,
1635923741649,323,78,289,1323,
1635923741649,354,78,289,1323,
1635923741650,344,78,289,1323,
1635923741650,322,78,289,1323,
1635923741651,336,78,289,1323,
1635923741658,320,78,289,1323,
1635923741666,331,78,289,1323,
1635923741674,262,78,289,1323,
1635923741682,306,78,289,1323,
1635923741690,307,78,289,1323,
1635923741690,325,78,289,1323,
1635923741690,305,78,289,1323,
1635923741690,270,78,289,1323,
1635923741690,300,78,289,1323,
1635923741690,282,78,289,1323,
1635923741696,278,79,289,1324,
1635923741703,315,79,289,1324,
1635923741710,312,79,289,1324,
1635923741717,295,79,289,1324,
1635923741724,347,79,289,1324,
1635923741724,307,79,289,1324,
1635923741724,296,79,289,1324,
1635923741724,297,79,289,1324,
1635923741724,320,79,289,1324,
1635923741725,281,77,287,1324,
1635923741734,299,77,287,1324,
1635923741743,373,77,287,1324,
1635923741752,325,77,287,1324,
1635923741761,370,77,287,1324,
1635923741770,326,77,287,1324,
1635923741775,306,77,287,1324,
1635923741781,328,77,287,1324,
1635923741786,306,77,287,1324,
1635923741792,350,79,289,1323,
1635923741798,269,79,289,1323,
1635923741798,277,79,289,1323,
1635923741799,339,79,289,1323,
1635923741799,323,79,289,1323,
1635923741800,302,79,289,1323,
1635923741801,307,79,289,1323,
1635923741811,282,79,289,1323,
1635923741821,248,79,289,1323,
1635923741831,245,77,289,1322,
1635923741841,311,79,287,1324,
1635923741851,262,79,287,1324,
1635923741851,478,79,287,1324,
1635923741851,289,79,287,1324,
1635923741851,305,79,287,1324,
1635923741851,282,79,287,1324,
1635923741851,309,79,287,1324,
1635923741856,304,79,287,1324,
1635923741861,316,78,291,1323,
1635923741866,277,79,288,1325,
1635923741871,339,79,290,1324,
1635923741876,313,77,289,1325,
1635923741876,326,78,289,1324,
1635923741876,347,76,289,1323,
1635923741876,284,77,288,1323,
1635923741876,345,78,290,1323,
1635923741876,302,79,289,1326,
1635923741883,293,81,289,1325,
1635923741890,318,76,291,1322,
1635923741897,286,77,288,1322,
1635923741904,263,79,289,1322,
1635923741911,319,77,288,1321,
1635923741911,317,78,289,1322,
1635923741911,305,79,288,1324,
1635923741912,338,77,289,1323,
1635923741912,260,78,289,1322,
1635923741913,288,78,288,1322,
1635923741921,300,78,288,1323,
1635923741929,293,78,288,1323,
1635923741938,283,77,289,1323,
1635923741946,327,78,289,1323,
1635923741955,304,78,288,1322,
1635923741955,285,78,288,1323,
1635923741955,304,77,288,1324,
1635923741955,328,78,288,1324,
1635923741955,333,79,288,1322,
1635923741955,287,79,288,1324,
1635923741961,298,78,288,1323,
1635923741967,288,79,288,1323,
1635923741973,290,79,288,1322,
1635923741979,330,78,290,1322,
1635923741986,303,78,288,1324,
1635923741986,279,80,288,1324,
1635923741986,249,79,288,1323,
1635923741987,297,80,290,1323,
1635923741987,348,79,290,1322,
1635923741988,305,77,288,1323,
1635923742008,344,79,288,1324,
1635923742028,295,78,288,1324,
1635923742068,305,77,289,1322,
1635923742088,283,78,289,1322,
1635923742090,254,79,288,1322,
1635923742093,272,78,290,1323,
1635923742096,270,77,289,1323,
1635923742099,323,78,289,1323,
1635923742102,340,78,287,1323,
1635923742102,333,78,289,1323,
1635923742102,327,78,288,1325,
1635923742102,356,77,287,1324,
1635923742102,260,76,287,1325,
1635923742102,338,78,287,1323,
1635923742102,326,79,287,1323,
1635923742102,358,78,288,1323,
1635923742102,281,79,290,1323,
1635923742102,247,79,290,1323,
1635923742103,396,79,290,1323,
1635923742105,284,77,288,1323,
1635923742108,314,77,287,1322,
1635923742111,276,78,288,1323,
1635923742114,303,77,289,1323,
1635923742117,353,78,288,1325,
1635923742123,327,78,288,1324,
1635923742129,320,78,288,1324,
1635923742135,325,78,288,1324,
1635923742141,269,80,290,1323,
1635923742148,271,78,290,1324,
1635923742148,323,78,290,1323,
1635923742148,340,78,288,1326,
1635923742148,288,78,287,1325,
1635923742148,330,78,289,1325,
1635923742148,326,78,289,1322,
1635923742153,337,79,288,1323,
1635923742158,366,78,289,1324,
1635923742163,270,78,289,1324,
1635923742168,327,78,288,1323,
1635923742174,332,78,288,1324,
1635923742174,329,78,289,1323,
1635923742174,248,78,289,1323,
1635923742174,346,78,288,1323,
1635923742174,337,78,290,1323,
